City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
279,enying,46.9305,18.242,0.59,77,100,2.84,HU,1701798847
280,cockburn town,21.4612,-71.1419,27.32,77,12,6.83,TC,1701798847
281,prince rupert,54.3161,-130.3201,10.05,73,75,11.83,CA,1701798847
282,holyhead,53.3062,-4.6321,6.1,93,20,2.57,GB,1701798847
283,koksijde,51.1117,2.6852,6.25,87,100,2.57,BE,1701798848
284,mugia,43.1041,-9.2179,9.53,70,100,4.3,ES,1701798848
285,kotel'nikovo,47.6317,43.1461,-5.12,89,17,1.41,RU,1701798848
286,pangody,65.85,74.4859,-39.62,100,40,1.53,RU,1701798848
287,mogadishu,2.0371,45.3438,27.47,72,49,7.61,SO,1701798848
288,alice springs,-23.7,133.8833,18.75,63,0,1.03,AU,1701798849
289,turinskaya sloboda,57.6232,64.3858,-15.77,95,98,3.42,RU,1701798849
290,alaghsas,17.0187,8.0168,28.94,12,0,5.66,NE,1701798849
291,prince george,53.9166,-122.753,5.14,88,0,4.63,CA,1701798849
292,coyhaique,-45.5752,-72.0662,23.34,35,0,2.57,CL,1701798849
293,robertsport,6.7533,-11.3686,28.13,77,8,4.63,LR,1701798850
294,rongelap,11.1635,166.8941,27.5,78,84,9.7,MH,1701798850
295,korhogo,9.45,-5.6333,29.39,22,3,0.57,CI,1701798850
296,holualoa,19.6228,-155.9522,20.99,77,20,4.63,US,1701798582
297,qaqortoq,60.7167,-46.0333,-3.07,67,99,4.33,GL,1701798850
298,san jose del cabo,23.0589,-109.6977,28.19,60,0,2.68,MX,1701798850
299,kawerau,-38.1,176.7,15.05,97,97,2.05,NZ,1701798851
300,howrah,22.5892,88.3103,23.0,73,75,3.09,IN,1701798851
301,cam ranh,11.9214,109.1591,24.98,94,40,2.06,VN,1701798851
302,bridgewater,44.3835,-64.5155,1.79,81,94,6.69,CA,1701798851
303,metlili chaamba,32.2667,3.6333,17.52,22,0,0.0,DZ,1701798851
304,agdzhabedy,40.0528,47.4614,10.75,72,100,9.35,AZ,1701798851
305,vila do maio,15.1333,-23.2167,27.44,73,98,7.56,CV,1701798852
306,salinas,36.6777,-121.6555,17.76,69,0,8.23,US,1701798852
307,oranjemund,-28.55,16.4333,16.94,87,1,7.4,NA,1701798852
308,paide,58.8856,25.5572,-15.87,100,76,1.13,EE,1701798852
309,bayanaul,50.7889,75.6956,3.83,74,100,7.19,KZ,1701798852
310,aral,40.5156,81.2636,2.49,40,0,2.19,CN,1701798852
311,yuzhno-kurilsk,44.0306,145.8556,4.1,91,35,2.91,RU,1701798853
312,cabaritan east,18.4206,121.4897,24.29,92,55,1.35,PH,1701798853
313,suva,-18.1416,178.4415,24.71,100,40,0.0,FJ,1701798853
314,lorengau,-2.0226,147.2712,26.77,84,77,3.25,PG,1701798853
315,dabou,5.3256,-4.3769,27.57,80,14,4.62,CI,1701798853
316,gazli,40.1333,63.45,13.86,28,13,3.75,UZ,1701798854
317,la sarre,48.8002,-79.1996,-9.73,78,100,1.95,CA,1701798854
318,kivertsi,50.8343,25.4582,-6.18,96,100,3.07,UA,1701798854
319,mae ramat,16.984,98.5166,22.41,92,56,0.71,TH,1701798854
320,aswan,24.0934,32.907,27.61,34,0,3.09,EG,1701798854
321,manokwari,-0.8667,134.0833,25.73,84,96,3.35,ID,1701798627
322,daru,-9.0763,143.2092,26.41,77,57,4.1,PG,1701798855
323,charters towers,-20.1,146.2667,22.46,86,5,2.96,AU,1701798855
324,masterton,-40.9597,175.6575,13.27,89,100,2.48,NZ,1701798855
325,keflavik,64.0049,-22.5624,2.24,69,0,5.66,IS,1701798855
326,midelt,32.6852,-4.7451,12.95,40,100,1.21,MA,1701798855
327,coahuayana de hidalgo,18.7,-103.6583,27.85,59,100,1.44,MX,1701798856
328,ulladulla,-35.35,150.4667,17.09,79,69,2.83,AU,1701798733
329,diapaga,12.0708,1.7889,30.19,14,5,2.64,BF,1701798856
330,zag,46.9441,99.165,-18.17,83,28,1.29,MN,1701798856
331,argo,37.6333,22.7333,14.32,93,98,2.0,GR,1701798856
332,inga,-7.2808,-35.6044,33.25,33,35,7.78,BR,1701798856
333,chivhu,-19.0211,30.8922,24.9,20,9,5.02,ZW,1701798857
334,dudinka,69.4058,86.1778,-36.29,98,38,2.24,RU,1701798857
335,naze,28.3667,129.4833,14.51,63,71,3.67,JP,1701798857
336,kenai,60.5544,-151.2583,-1.59,94,100,1.54,US,1701798857
337,mbandaka,0.0487,18.2603,23.93,84,71,1.81,CD,1701798857
338,selfoss,63.9331,-20.9971,-3.99,72,32,4.68,IS,1701798858
339,port saint john's,-31.6229,29.5448,19.24,87,100,3.22,ZA,1701798858
340,bardai,11.65,7.2333,24.34,13,51,3.79,NG,1701798858
341,la'ie,21.6477,-157.9253,24.5,82,71,3.13,US,1701798858
342,lindi,-10.0,39.7167,25.52,84,70,1.18,TZ,1701798858
343,jaru,-10.4389,-62.4664,31.62,52,90,0.99,BR,1701798859
344,sikonge,-5.6333,32.7667,21.62,75,82,1.03,TZ,1701798859
345,trang,7.5,99.5,23.37,97,77,0.79,TH,1701798859
346,namdrik,5.5994,168.1028,28.09,79,96,9.65,MH,1701798859
347,piti village,13.4626,144.6933,27.49,82,0,3.6,GU,1701798859
348,saacow,1.6279,42.4407,28.79,44,28,4.57,SO,1701798860
349,pasuquin,18.3328,120.6177,25.13,83,39,3.28,PH,1701798860
350,boda,4.3189,17.4695,25.78,64,25,1.74,CF,1701798860
351,mabaruma,8.2,-59.7833,31.46,51,53,3.73,GY,1701798860
352,dakhla,23.6848,-15.958,21.01,83,100,8.23,EH,1701798860
353,tenosique,17.4833,-91.4333,28.45,72,94,3.25,MX,1701798861
354,santa cruz,-17.8,-63.1667,28.7,65,75,7.2,BO,1701798861
